,time,HeatWave
0,1991,0.0
1,1992,2.0
2,1993,5.0
3,1994,11.0
4,1995,10.0
5,1996,5.0
6,1997,3.0
7,1998,9.0
8,1999,4.0
9,2000,7.0
10,2001,5.0
11,2002,15.0
12,2003,9.0
13,2004,4.0
14,2005,10.0
15,2006,9.0
16,2007,17.0
17,2008,2.0
18,2009,3.0
19,2010,4.0
20,2011,3.0
21,2012,8.0
22,2013,8.0
23,2014,16.0
24,2015,10.0
25,2016,15.0
26,2017,6.0
27,2018,16.0
28,2019,19.0
29,2020,15.0
30,2021,9.0
31,2022,16.0
32,2023,24.0
33,2024,46.0
