,time,Heatwave_days
0,1991,2.0
1,1992,4.0
2,1993,6.0
3,1994,6.0
4,1995,9.0
5,1996,6.0
6,1997,8.0
7,1998,5.0
8,1999,5.0
9,2000,5.0
10,2001,12.0
11,2002,12.0
12,2003,11.0
13,2004,6.0
14,2005,10.0
15,2006,8.0
16,2007,12.0
17,2008,3.0
18,2009,8.0
19,2010,3.0
20,2011,3.0
21,2012,9.0
22,2013,6.0
23,2014,21.0
24,2015,12.0
25,2016,26.0
26,2017,9.0
27,2018,14.0
28,2019,8.0
29,2020,7.0
30,2021,8.0
31,2022,15.0
32,2023,11.0
33,2024,24.0
