year,DJF,MAM,JJA,SON
1991,0,0,0,7
1992,0,0,10,0
1993,0,0,3,1
1994,7,0,0,5
1995,9,0,0,2
1996,3,1,0,0
1997,0,0,0,8
1998,31,3,0,0
1999,5,2,0,0
2000,0,0,0,8
2001,0,8,6,0
2002,0,0,8,29
2003,24,1,0,0
2004,0,0,0,4
2005,0,3,0,6
2006,0,1,0,0
2007,9,13,0,0
2008,8,0,0,4
2009,4,10,0,3
2010,12,0,3,0
2011,5,1,0,0
2012,1,0,0,3
2013,11,1,0,0
2014,28,0,2,6
2015,32,0,4,19
2016,8,18,0,8
2017,4,2,0,8
2018,0,4,0,4
2019,24,26,2,16
2020,0,0,0,24
2021,0,4,8,7
2022,0,7,2,0
2023,0,0,0,42
2024,19,16,0,0
