city,Data,tmin,tmean,tmax,umimin,umimean,umimax,pr
Campinas,28-03-2024,19.42,22195,24.97,77.58,88.79,100,5842
Campinas,29-03-2024,18.4,21235,24.07,92.4,96.2,100,14.22
Campinas,30-03-2024,20.51,24275,28.04,74.1,87.05,100,0
Campinas,31-03-2024,17.97,24.5,31.03,54.56,77.28,100,0
Campinas,01-04-2024,18.37,25495,32.62,42.2,71.1,100,0
Campinas,02-04-2024,19.82,26475,33.13,28.72,62.51,96.3,0
Campinas,03-04-2024,20.28,26325,32.37,47.73,72165,96.6,0
Campinas,04-04-2024,21.42,27.53,33.64,49.6,73.05,96.5,0
Campinas,05-04-2024,21.19,28215,35.24,49.92,74.36,98.8,0
Campinas,06-04-2024,20.02,27305,34.59,47.95,72025,96.1,0
Campinas,07-04-2024,19.96,25.46,30.96,51.03,73165,95.3,0
Campinas,08-04-2024,20.43,26695,32.96,47.74,72.37,97,0
Campinas,09-04-2024,20.49,25235,29.98,58.79,79395,100,0
Campinas,10-04-2024,19.8,25.45,31.1,58.37,79185,100,9.91
Campinas,11-04-2024,20.77,26.49,32.21,54.94,77.47,100,0
Campinas,12-04-2024,21.85,27125,32.4,59.73,79265,98.8,0
Campinas,13-04-2024,20.7,26.39,32.08,57.08,76.64,96.2,0
Campinas,14-04-2024,21.19,27245,33.3,50.04,73.07,96.1,0
Campinas,15-04-2024,21.88,25.64,29.4,59.89,79395,98.9,0
Campinas,16-04-2024,22.27,26835,31.4,57.34,78.67,100,2794
Campinas,17-04-2024,21.73,27255,32.78,53.65,76825,100,3.81
Campinas,18-04-2024,19.7,24.27,28.84,69.93,84965,100,3556
Campinas,19-04-2024,16.76,21.16,25.56,68.55,80975,93.4,0
Campinas,20-04-2024,17.01,23.38,29.75,54.59,76695,98.8,0
Campinas,21-04-2024,16.54,23.89,31.24,46.73,73365,100,0
Campinas,22-04-2024,14.28,22.92,31.56,39.53,69765,100,0
Campinas,23-04-2024,15.66,23.27,30.88,41.4,69.75,98.1,0
Campinas,24-04-2024,16.52,24355,32.19,39.08,67.74,96.4,0
Campinas,25-04-2024,17.35,24.72,32.09,42.62,68.81,95,0
Campinas,26-04-2024,20.99,27145,33.3,43.1,69.85,96.6,0
Campinas,27-04-2024,20.28,26.62,32.96,47.65,73825,100,0
Campinas,28-04-2024,18.83,25775,32.72,49,74.5,100,0
Campinas,29-04-2024,19.68,26.42,33.16,49.6,74.8,100,0
